machine_id,timestamp,operating_hours,vibration_zscore,RUL_predicted_hours,RUL_predicted_days,next_maintenance_days,health_status,expected_failure_date
M01,2026-04-07 10:31:47,1487.1402777777755,0.0,6.7,0.28,0.5,CRITICAL,2026-04-07 17:13
M02,2026-04-07 10:31:47,666.1402777777757,0.0,6.52,0.27,0.5,CRITICAL,2026-04-07 17:02
M03,2026-04-07 10:31:47,32.14027777777789,0.0,6.72,0.28,0.5,CRITICAL,2026-04-07 17:14
M04,2026-04-07 10:31:47,198.1402777777786,0.0,917.43,38.23,24.18,HEALTHY,2026-05-15 15:57
M05,2026-04-07 10:31:47,187.1402777777786,0.0,912.11,38.0,28.84,HEALTHY,2026-05-15 10:38
